Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
774.5555556,3.777777778,0.64,3.352292825
774.5555556,3.777777778,0.8,3.352292825
774.5555556,3.777777778,0.96,3.352292825
774.5555556,3.777777778,1.12,3.352292825
774.5555556,3.777777778,1.28,3.352292825
774.5555556,3.777777778,1.44,3.352292825
774.5555556,4.333333333,0,5.726450934
774.5555556,4.333333333,0.16,0.234168756
774.5555556,4.333333333,0.32,0
774.5555556,4.333333333,0.48,0
774.5555556,4.333333333,0.64,1.500681153
774.5555556,4.333333333,0.8,1.500681153
774.5555556,4.333333333,0.96,1.500681153
774.5555556,4.333333333,1.12,1.500681153
774.5555556,4.333333333,1.28,1.500681153
774.5555556,4.333333333,1.44,1.500681153
774.5555556,4.888888889,0,5.726450934
774.5555556,4.888888889,0.16,0.234168756
774.5555556,4.888888889,0.32,0
774.5555556,4.888888889,0.48,0
774.5555556,4.888888889,0.64,1.500681153
774.5555556,4.888888889,0.8,1.500681153
774.5555556,4.888888889,0.96,1.500681153
774.5555556,4.888888889,1.12,1.500681153
774.5555556,4.888888889,1.28,1.500681153
774.5555556,4.888888889,1.44,1.500681153
774.5555556,5.444444444,0,5.063559949
774.5555556,5.444444444,0.16,0
774.5555556,5.444444444,0.32,0
774.5555556,5.444444444,0.48,0
774.5555556,5.444444444,0.64,0.81804925
774.5555556,5.444444444,0.8,0.81804925
774.5555556,5.444444444,0.96,0.81804925
774.5555556,5.444444444,1.12,0.81804925
774.5555556,5.444444444,1.28,0.81804925
774.5555556,5.444444444,1.44,0.81804925
774.5555556,6,0,5.063559949
774.5555556,6,0.16,0
774.5555556,6,0.32,0
774.5555556,6,0.48,0
774.5555556,6,0.64,0.81804925
774.5555556,6,0.8,0.81804925
774.5555556,6,0.96,0.81804925
774.5555556,6,1.12,0.81804925
774.5555556,6,1.28,0.81804925
774.5555556,6,1.44,0.81804925
826.1111111,1,0,9.551309758
826.1111111,1,0.16,6.65334084
826.1111111,1,0.32,2.962152095
826.1111111,1,0.48,6.617509592
826.1111111,1,0.64,9.933110279
826.1111111,1,0.8,9.933110279
826.1111111,1,0.96,9.933110279
826.1111111,1,1.12,9.933110279
826.1111111,1,1.28,9.933110279
826.1111111,1,1.44,9.933110279
826.1111111,1.555555556,0,9.551309758
826.1111111,1.555555556,0.16,6.65334084
826.1111111,1.555555556,0.32,2.962152095
826.1111111,1.555555556,0.48,6.617509592
826.1111111,1.555555556,0.64,9.933110279
826.1111111,1.555555556,0.8,9.933110279
826.1111111,1.555555556,0.96,9.933110279
826.1111111,1.555555556,1.12,9.933110279
826.1111111,1.555555556,1.28,9.933110279
826.1111111,1.555555556,1.44,9.933110279
826.1111111,2.111111111,0,4.515292744
826.1111111,2.111111111,0.16,0.348578371
826.1111111,2.111111111,0.32,0
826.1111111,2.111111111,0.48,0
826.1111111,2.111111111,0.64,2.480894758
826.1111111,2.111111111,0.8,2.480894758
826.1111111,2.111111111,0.96,2.480894758
826.1111111,2.111111111,1.12,2.480894758
826.1111111,2.111111111,1.28,2.480894758
826.1111111,2.111111111,1.44,2.480894758
826.1111111,2.666666667,0,6.782047281
826.1111111,2.666666667,0.16,2.895999252
826.1111111,2.666666667,0.32,0
826.1111111,2.666666667,0.48,2.026172611
826.1111111,2.666666667,0.64,4.682910717
826.1111111,2.666666667,0.8,4.682910717
826.1111111,2.666666667,0.96,4.682910717
826.1111111,2.666666667,1.12,4.682910717
826.1111111,2.666666667,1.28,4.682910717
826.1111111,2.666666667,1.44,4.682910717
826.1111111,3.222222222,0,6.887156007
826.1111111,3.222222222,0.16,1.644695614
826.1111111,3.222222222,0.32,0
826.1111111,3.222222222,0.48,0.695549291
826.1111111,3.222222222,0.64,3.352292825
826.1111111,3.222222222,0.8,3.352292825
826.1111111,3.222222222,0.96,3.352292825
826.1111111,3.222222222,1.12,3.352292825
826.1111111,3.222222222,1.28,3.352292825
826.1111111,3.222222222,1.44,3.352292825
826.1111111,3.777777778,0,6.887156007
826.1111111,3.777777778,0.16,1.644695614
826.1111111,3.777777778,0.32,0
826.1111111,3.777777778,0.48,0.695549291
826.1111111,3.777777778,0.64,3.352292825
826.1111111,3.777777778,0.8,3.352292825
826.1111111,3.777777778,0.96,3.352292825
826.1111111,3.777777778,1.12,3.352292825
826.1111111,3.777777778,1.28,3.352292825
826.1111111,3.777777778,1.44,3.352292825
826.1111111,4.333333333,0,5.678959586
826.1111111,4.333333333,0.16,0.186677293
826.1111111,4.333333333,0.32,0
826.1111111,4.333333333,0.48,0
826.1111111,4.333333333,0.64,1.453188977
826.1111111,4.333333333,0.8,1.453188977
826.1111111,4.333333333,0.96,1.453188977
826.1111111,4.333333333,1.12,1.453188977
826.1111111,4.333333333,1.28,1.453188977
826.1111111,4.333333333,1.44,1.453188977
826.1111111,4.888888889,0,5.678959586
826.1111111,4.888888889,0.16,0.186677293
826.1111111,4.888888889,0.32,0
826.1111111,4.888888889,0.48,0
826.1111111,4.888888889,0.64,1.453188977
826.1111111,4.888888889,0.8,1.453188977
826.1111111,4.888888889,0.96,1.453188977
826.1111111,4.888888889,1.12,1.453188977
826.1111111,4.888888889,1.28,1.453188977
826.1111111,4.888888889,1.44,1.453188977
826.1111111,5.444444444,0,5.016068602
826.1111111,5.444444444,0.16,0
826.1111111,5.444444444,0.32,0
826.1111111,5.444444444,0.48,0
826.1111111,5.444444444,0.64,0.770557994
826.1111111,5.444444444,0.8,0.770557994
